"provinces_id";"name";"link"
1;"Bali";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Bali"
2;"Bangka Belitung";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Bangka Belitung"
3;"Banten";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Banten"
4;"Bengkulu";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Bengkulu"
5;"DI Yogyakarta";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=DI Yogyakarta"
6;"DKI Jakarta";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=DKI Jakarta"
7;"Gorontalo";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Gorontalo"
8;"Jambi";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Jambi"
9;"Jawa Barat";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Jawa Barat"
10;"Jawa Tengah";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Jawa Tengah"
11;"Jawa Timur";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Jawa Timur"
12;"Kalimantan Barat";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Kalimantan Barat"
13;"Kalimantan Selatan";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Kalimantan Selatan"
14;"Kalimantan Tengah";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Kalimantan Tengah"
15;"Kalimantan Timur";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Kalimantan Timur"
16;"Kalimantan Utara";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Kalimantan Utara"
17;"Kepulauan Riau";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Kepulauan Riau"
18;"Lampung";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Lampung"
19;"Maluku";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Maluku"
20;"Maluku Utara";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Maluku Utara"
21;"Nanggroe Aceh Darussalam (NAD)";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Nanggroe Aceh Darussalam (NAD)"
22;"Nusa Tenggara Barat (NTB)";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Nusa Tenggara Barat (NTB)"
23;"Nusa Tenggara Timur (NTT)";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Nusa Tenggara Timur (NTT)"
24;"Papua";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Papua"
25;"Papua Barat";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Papua Barat"
26;"Riau";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Riau"
27;"Sulawesi Barat";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Sulawesi Barat"
28;"Sulawesi Selatan";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Sulawesi Selatan"
29;"Sulawesi Tengah";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Sulawesi Tengah"
30;"Sulawesi Tenggara";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Sulawesi Tenggara"
31;"Sulawesi Utara";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Sulawesi Utara"
32;"Sumatera Barat";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Sumatera Barat"
33;"Sumatera Selatan";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Sumatera Selatan"
34;"Sumatera Utara";"http://www.nomor.net/_kodepos.php?_i=kota-kodepos&sby=000000&daerah=Provinsi&jobs=Sumatera Utara"
